"Only available in certain markets. NOTE: You must also update the attribute in Magento to make this field optional if you set this to ""no""","Nur in bestimmten Märkten verfügbar. HINWEIS: Sie müssen das Attribut auch in Magento aktualisieren, um dieses Feld optional zu machen, wenn Sie den Wert ""Nein"" auswählen."
"Enable B2B mode","B2B-Modus aktivieren"
"Enable B2B checkout mode","B2B Checkout-Modus aktivieren"
"Business ID attribute","Business-ID Attribut"
"Custom attribute for business id","Benutzerdefiniertes Attribut für Business-ID"
"Custom Checkboxes","Benutzerdefinierte Kontrollhäkchen"
"Add multiple additional custom checkboxes to Kustom Checkout.","Mehrere zusätzliche benutzerdefinierte Kontrollhäkchen zum Kustom Checkout hinzufügen."
"Checkout border radius","Abrundung der Ecken im Checkout (Begrenzungsradius)"
"Example: 0px","Beispiel: 0px"
"Kustom Checkout (North America)","Kustom Checkout (Nordamerika)"
"Kustom Checkout (Europe)","Kustom Checkout (Europa)"
"Kustom Checkout (Netherlands)","Kustom Checkout (Niederlande)"
"Kustom Checkout (DACH)","Kustom Checkout (DACH)"
"Kustom Checkout can not be rendered since Kustom Payments and Kustom Checkout are both enabled. Please disable Kustom Payments in your admin configuration when using Kustom Checkout","Kustom Checkout kann nicht verwendet werden weil Kustom Checkout and Kustom Payments aktiviert sind. Bitte deaktivieren Sie Kustom Payments in ihren Admin Einstellungen wenn Sie Kustom Checkout verwenden möchten."
"A Kustom Payments endpoint is currently selected. Please select a Kustom Checkout endpoint in your admin configuration.","Ein Kustom Payments Endpunkt wird verwendet. Bitte wähle einen Kustom Checkout Endpunkt in ihren Admin Einstellungen aus."
"An error happened when retrieving the status of the order from Kustom","Beim abrufen des Status der Bestellung von Kustom ist ein Fehler aufgetreten"
"Kustom Checkout shipping country configuration warning:","Kustom Checkout Lieferland Konfiguration Warnung:"
"No shipping countries are enabled. Please enable at least one shipping country.","Keine Lieferländer wurden ausgewählt. Bitte wähle mindstens eines aus."
"Kustom Checkout customer group configuration warning:","Kustom Checkout Kundengruppen Konfiguration Warnung:"
"All customer groups are disabled. Please enable at least one customer group.","Es wurde keine Kundengruppe ausgewählt. Bitte wähle mindestens eine aus."
"No password is configured. For a working Kustom Checkout you need to setup a password.","Kein Passwort ist konfiguriert. Damit Kustom Checkout funktioniert muss ein Passwort hinterlegt werden."
"No merchant id is configured. For a working Kustom Checkout you need to setup a merchant id.","Keine Händler ID ist konfiguriert. Damit Kustom Checkout funktioniert muss eine Händler ID hinterlegt werden."
"Kustom Checkout terms and conditions warning:","Kustom Checkout Geschäftsbedingungen Warnung:"
"No url for the terms and conditions is configured. Please setup a url.","Keine URL für die Geschäftsbedingungen ist konfiguriert. Bitte konfigurieren Sie diese Einstellung."
"Kustom Checkout design warning:","Kustom Checkout Aussehen Warnung:"
"An invalid CSS hex color code is used for the link color. Please change it to a valid css hex color code.","Ein ungültiger CSS hex Farbcode wird für die Linkfarbe verwendet. Bitte ändere diesen zu einem validen CSS hex Farbcode."
"An invalid CSS hex color code is used for the header color. Please change it to a valid css hex color code.","Ein ungültiger CSS hex Farbcode wird für die Kopffarbe verwendet. Bitte ändere diesen zu einem validen CSS hex Farbcode."
"An invalid CSS hex color code is used for the checkbox checkmark color. Please change it to a valid css hex color code.","Ein ungültiger CSS hex Farbcode wird für die Kontrollkästchen Häkchenfarbe verwendet. Bitte ändere diesen zu einem validen CSS hex Farbcode."
"An invalid CSS hex color code is used for the checkbox. Please change it to a valid css hex color code.","Ein ungültiger CSS hex Farbcode wird für das Kontrollkästchen verwendet. Bitte ändere diesen zu einem validen CSS hex Farbcode."
"An invalid CSS hex color code is used for the button text. Please change it to a valid css hex color code.","Ein ungültiger CSS hex Farbcode wird für den Knopftext verwendet. Bitte ändere diesen zu einem validen CSS hex Farbcode."
